# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00030169
   -9.94994995    0.00030274
   -9.89989990    0.00030380
   -9.84984985    0.00030486
   -9.79979980    0.00030593
   -9.74974975    0.00030701
   -9.69969970    0.00030810
   -9.64964965    0.00030920
   -9.59959960    0.00031030
   -9.54954955    0.00031141
   -9.49949950    0.00031253
   -9.44944945    0.00031365
   -9.39939940    0.00031479
   -9.34934935    0.00031593
   -9.29929930    0.00031708
   -9.24924925    0.00031824
   -9.19919920    0.00031941
   -9.14914915    0.00032059
   -9.09909910    0.00032177
   -9.04904905    0.00032297
   -8.99899900    0.00032417
   -8.94894895    0.00032538
   -8.89889890    0.00032660
   -8.84884885    0.00032783
   -8.79879880    0.00032907
   -8.74874875    0.00033032
   -8.69869870    0.00033158
   -8.64864865    0.00033285
   -8.59859860    0.00033413
   -8.54854855    0.00033541
   -8.49849850    0.00033671
   -8.44844845    0.00033802
   -8.39839840    0.00033933
   -8.34834835    0.00034066
   -8.29829830    0.00034200
   -8.24824825    0.00034335
   -8.19819820    0.00034471
   -8.14814815    0.00034608
   -8.09809810    0.00034746
   -8.04804805    0.00034885
   -7.99799800    0.00035025
   -7.94794795    0.00035167
   -7.89789790    0.00035309
   -7.84784785    0.00035453
   -7.79779780    0.00035598
   -7.74774775    0.00035744
   -7.69769770    0.00035891
   -7.64764765    0.00036039
   -7.59759760    0.00036189
   -7.54754755    0.00036340
   -7.49749750    0.00036492
   -7.44744745    0.00036645
   -7.39739740    0.00036800
   -7.34734735    0.00036956
   -7.29729730    0.00037113
   -7.24724725    0.00037272
   -7.19719720    0.00037432
   -7.14714715    0.00037593
   -7.09709710    0.00037756
   -7.04704705    0.00037920
   -6.99699700    0.00038086
   -6.94694695    0.00038253
   -6.89689690    0.00038421
   -6.84684685    0.00038591
   -6.79679680    0.00038762
   -6.74674675    0.00038935
   -6.69669670    0.00039110
   -6.64664665    0.00039286
   -6.59659660    0.00039463
   -6.54654655    0.00039642
   -6.49649650    0.00039823
   -6.44644645    0.00040006
   -6.39639640    0.00040190
   -6.34634635    0.00040375
   -6.29629630    0.00040563
   -6.24624625    0.00040752
   -6.19619620    0.00040943
   -6.14614615    0.00041135
   -6.09609610    0.00041330
   -6.04604605    0.00041526
   -5.99599600    0.00041724
   -5.94594595    0.00041924
   -5.89589590    0.00042126
   -5.84584585    0.00042330
   -5.79579580    0.00042536
   -5.74574575    0.00042743
   -5.69569570    0.00042953
   -5.64564565    0.00043165
   -5.59559560    0.00043379
   -5.54554555    0.00043595
   -5.49549550    0.00043813
   -5.44544545    0.00044033
   -5.39539540    0.00044256
   -5.34534535    0.00044480
   -5.29529530    0.00044707
   -5.24524525    0.00044936
   -5.19519520    0.00045168
   -5.14514515    0.00045402
   -5.09509510    0.00045638
   -5.04504505    0.00045877
   -4.99499499    0.00046118
   -4.94494494    0.00046361
   -4.89489489    0.00046608
   -4.84484484    0.00046856
   -4.79479479    0.00047108
   -4.74474474    0.00047362
   -4.69469469    0.00047619
   -4.64464464    0.00047878
   -4.59459459    0.00048141
   -4.54454454    0.00048406
   -4.49449449    0.00048674
   -4.44444444    0.00048945
   -4.39439439    0.00049219
   -4.34434434    0.00049496
   -4.29429429    0.00049776
   -4.24424424    0.00050059
   -4.19419419    0.00050346
   -4.14414414    0.00050635
   -4.09409409    0.00050928
   -4.04404404    0.00051225
   -3.99399399    0.00051524
   -3.94394394    0.00051828
   -3.89389389    0.00052134
   -3.84384384    0.00052445
   -3.79379379    0.00052759
   -3.74374374    0.00053076
   -3.69369369    0.00053398
   -3.64364364    0.00053723
   -3.59359359    0.00054053
   -3.54354354    0.00054386
   -3.49349349    0.00054724
   -3.44344344    0.00055065
   -3.39339339    0.00055411
   -3.34334334    0.00055761
   -3.29329329    0.00056116
   -3.24324324    0.00056475
   -3.19319319    0.00056839
   -3.14314314    0.00057207
   -3.09309309    0.00057581
   -3.04304304    0.00057959
   -2.99299299    0.00058342
   -2.94294294    0.00058730
   -2.89289289    0.00059123
   -2.84284284    0.00059522
   -2.79279279    0.00059926
   -2.74274274    0.00060336
   -2.69269269    0.00060751
   -2.64264264    0.00061172
   -2.59259259    0.00061600
   -2.54254254    0.00062033
   -2.49249249    0.00062472
   -2.44244244    0.00062918
   -2.39239239    0.00063370
   -2.34234234    0.00063829
   -2.29229229    0.00064295
   -2.24224224    0.00064768
   -2.19219219    0.00065248
   -2.14214214    0.00065736
   -2.09209209    0.00066231
   -2.04204204    0.00066734
   -1.99199199    0.00067246
   -1.94194194    0.00067765
   -1.89189189    0.00068293
   -1.84184184    0.00068831
   -1.79179179    0.00069377
   -1.74174174    0.00069932
   -1.69169169    0.00070498
   -1.64164164    0.00071074
   -1.59159159    0.00071660
   -1.54154154    0.00072257
   -1.49149149    0.00072865
   -1.44144144    0.00073486
   -1.39139139    0.00074119
   -1.34134134    0.00074764
   -1.29129129    0.00075424
   -1.24124124    0.00076097
   -1.19119119    0.00076786
   -1.14114114    0.00077491
   -1.09109109    0.00078212
   -1.04104104    0.00078952
   -0.99099099    0.00079710
   -0.94094094    0.00080490
   -0.89089089    0.00081292
   -0.84084084    0.00082118
   -0.79079079    0.00082970
   -0.74074074    0.00083853
   -0.69069069    0.00084767
