# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00030019
   -9.94994995    0.00030123
   -9.89989990    0.00030227
   -9.84984985    0.00030332
   -9.79979980    0.00030438
   -9.74974975    0.00030545
   -9.69969970    0.00030652
   -9.64964965    0.00030760
   -9.59959960    0.00030869
   -9.54954955    0.00030979
   -9.49949950    0.00031090
   -9.44944945    0.00031201
   -9.39939940    0.00031313
   -9.34934935    0.00031426
   -9.29929930    0.00031539
   -9.24924925    0.00031654
   -9.19919920    0.00031769
   -9.14914915    0.00031885
   -9.09909910    0.00032002
   -9.04904905    0.00032120
   -8.99899900    0.00032239
   -8.94894895    0.00032358
   -8.89889890    0.00032479
   -8.84884885    0.00032600
   -8.79879880    0.00032722
   -8.74874875    0.00032846
   -8.69869870    0.00032970
   -8.64864865    0.00033095
   -8.59859860    0.00033221
   -8.54854855    0.00033348
   -8.49849850    0.00033476
   -8.44844845    0.00033605
   -8.39839840    0.00033734
   -8.34834835    0.00033865
   -8.29829830    0.00033997
   -8.24824825    0.00034130
   -8.19819820    0.00034264
   -8.14814815    0.00034399
   -8.09809810    0.00034535
   -8.04804805    0.00034672
   -7.99799800    0.00034810
   -7.94794795    0.00034950
   -7.89789790    0.00035090
   -7.84784785    0.00035232
   -7.79779780    0.00035374
   -7.74774775    0.00035518
   -7.69769770    0.00035663
   -7.64764765    0.00035809
   -7.59759760    0.00035956
   -7.54754755    0.00036105
   -7.49749750    0.00036255
   -7.44744745    0.00036406
   -7.39739740    0.00036558
   -7.34734735    0.00036711
   -7.29729730    0.00036866
   -7.24724725    0.00037022
   -7.19719720    0.00037179
   -7.14714715    0.00037338
   -7.09709710    0.00037498
   -7.04704705    0.00037659
   -6.99699700    0.00037822
   -6.94694695    0.00037986
   -6.89689690    0.00038152
   -6.84684685    0.00038319
   -6.79679680    0.00038487
   -6.74674675    0.00038657
   -6.69669670    0.00038828
   -6.64664665    0.00039001
   -6.59659660    0.00039175
   -6.54654655    0.00039351
   -6.49649650    0.00039529
   -6.44644645    0.00039708
   -6.39639640    0.00039888
   -6.34634635    0.00040070
   -6.29629630    0.00040254
   -6.24624625    0.00040440
   -6.19619620    0.00040627
   -6.14614615    0.00040816
   -6.09609610    0.00041007
   -6.04604605    0.00041199
   -5.99599600    0.00041393
   -5.94594595    0.00041589
   -5.89589590    0.00041787
   -5.84584585    0.00041987
   -5.79579580    0.00042188
   -5.74574575    0.00042392
   -5.69569570    0.00042597
   -5.64564565    0.00042804
   -5.59559560    0.00043014
   -5.54554555    0.00043225
   -5.49549550    0.00043438
   -5.44544545    0.00043653
   -5.39539540    0.00043871
   -5.34534535    0.00044091
   -5.29529530    0.00044312
   -5.24524525    0.00044536
   -5.19519520    0.00044762
   -5.14514515    0.00044991
   -5.09509510    0.00045221
   -5.04504505    0.00045454
   -4.99499499    0.00045690
   -4.94494494    0.00045928
   -4.89489489    0.00046168
   -4.84484484    0.00046410
   -4.79479479    0.00046655
   -4.74474474    0.00046903
   -4.69469469    0.00047153
   -4.64464464    0.00047406
   -4.59459459    0.00047661
   -4.54454454    0.00047920
   -4.49449449    0.00048180
   -4.44444444    0.00048444
   -4.39439439    0.00048711
   -4.34434434    0.00048980
   -4.29429429    0.00049252
   -4.24424424    0.00049527
   -4.19419419    0.00049805
   -4.14414414    0.00050087
   -4.09409409    0.00050371
   -4.04404404    0.00050658
   -3.99399399    0.00050949
   -3.94394394    0.00051243
   -3.89389389    0.00051540
   -3.84384384    0.00051840
   -3.79379379    0.00052144
   -3.74374374    0.00052452
   -3.69369369    0.00052763
   -3.64364364    0.00053077
   -3.59359359    0.00053395
   -3.54354354    0.00053717
   -3.49349349    0.00054043
   -3.44344344    0.00054372
   -3.39339339    0.00054706
   -3.34334334    0.00055043
   -3.29329329    0.00055385
   -3.24324324    0.00055730
   -3.19319319    0.00056080
   -3.14314314    0.00056434
   -3.09309309    0.00056792
   -3.04304304    0.00057155
   -2.99299299    0.00057522
   -2.94294294    0.00057894
   -2.89289289    0.00058271
   -2.84284284    0.00058652
   -2.79279279    0.00059038
   -2.74274274    0.00059429
   -2.69269269    0.00059825
   -2.64264264    0.00060227
   -2.59259259    0.00060633
   -2.54254254    0.00061045
   -2.49249249    0.00061462
   -2.44244244    0.00061885
   -2.39239239    0.00062314
   -2.34234234    0.00062748
   -2.29229229    0.00063189
   -2.24224224    0.00063635
   -2.19219219    0.00064088
   -2.14214214    0.00064547
   -2.09209209    0.00065012
   -2.04204204    0.00065484
   -1.99199199    0.00065963
   -1.94194194    0.00066448
   -1.89189189    0.00066941
   -1.84184184    0.00067441
   -1.79179179    0.00067948
   -1.74174174    0.00068463
   -1.69169169    0.00068986
   -1.64164164    0.00069517
   -1.59159159    0.00070056
   -1.54154154    0.00070603
   -1.49149149    0.00071159
   -1.44144144    0.00071724
   -1.39139139    0.00072298
   -1.34134134    0.00072882
   -1.29129129    0.00073475
   -1.24124124    0.00074078
   -1.19119119    0.00074692
   -1.14114114    0.00075317
   -1.09109109    0.00075953
   -1.04104104    0.00076601
   -0.99099099    0.00077261
   -0.94094094    0.00077934
   -0.89089089    0.00078620
   -0.84084084    0.00079320
   -0.79079079    0.00080036
