# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00030734
   -9.94994995    0.00030844
   -9.89989990    0.00030955
   -9.84984985    0.00031066
   -9.79979980    0.00031179
   -9.74974975    0.00031292
   -9.69969970    0.00031406
   -9.64964965    0.00031521
   -9.59959960    0.00031636
   -9.54954955    0.00031753
   -9.49949950    0.00031870
   -9.44944945    0.00031988
   -9.39939940    0.00032107
   -9.34934935    0.00032227
   -9.29929930    0.00032348
   -9.24924925    0.00032470
   -9.19919920    0.00032593
   -9.14914915    0.00032716
   -9.09909910    0.00032841
   -9.04904905    0.00032966
   -8.99899900    0.00033093
   -8.94894895    0.00033220
   -8.89889890    0.00033349
   -8.84884885    0.00033478
   -8.79879880    0.00033609
   -8.74874875    0.00033740
   -8.69869870    0.00033873
   -8.64864865    0.00034006
   -8.59859860    0.00034141
   -8.54854855    0.00034277
   -8.49849850    0.00034413
   -8.44844845    0.00034551
   -8.39839840    0.00034690
   -8.34834835    0.00034830
   -8.29829830    0.00034972
   -8.24824825    0.00035114
   -8.19819820    0.00035257
   -8.14814815    0.00035402
   -8.09809810    0.00035548
   -8.04804805    0.00035695
   -7.99799800    0.00035844
   -7.94794795    0.00035993
   -7.89789790    0.00036144
   -7.84784785    0.00036296
   -7.79779780    0.00036449
   -7.74774775    0.00036604
   -7.69769770    0.00036760
   -7.64764765    0.00036917
   -7.59759760    0.00037076
   -7.54754755    0.00037236
   -7.49749750    0.00037397
   -7.44744745    0.00037560
   -7.39739740    0.00037724
   -7.34734735    0.00037890
   -7.29729730    0.00038057
   -7.24724725    0.00038226
   -7.19719720    0.00038396
   -7.14714715    0.00038567
   -7.09709710    0.00038740
   -7.04704705    0.00038915
   -6.99699700    0.00039091
   -6.94694695    0.00039269
   -6.89689690    0.00039449
   -6.84684685    0.00039630
   -6.79679680    0.00039813
   -6.74674675    0.00039997
   -6.69669670    0.00040183
   -6.64664665    0.00040371
   -6.59659660    0.00040561
   -6.54654655    0.00040752
   -6.49649650    0.00040946
   -6.44644645    0.00041141
   -6.39639640    0.00041338
   -6.34634635    0.00041536
   -6.29629630    0.00041737
   -6.24624625    0.00041940
   -6.19619620    0.00042144
   -6.14614615    0.00042351
   -6.09609610    0.00042560
   -6.04604605    0.00042770
   -5.99599600    0.00042983
   -5.94594595    0.00043198
   -5.89589590    0.00043415
   -5.84584585    0.00043635
   -5.79579580    0.00043856
   -5.74574575    0.00044080
   -5.69569570    0.00044306
   -5.64564565    0.00044534
   -5.59559560    0.00044765
   -5.54554555    0.00044998
   -5.49549550    0.00045233
   -5.44544545    0.00045472
   -5.39539540    0.00045712
   -5.34534535    0.00045955
   -5.29529530    0.00046201
   -5.24524525    0.00046449
   -5.19519520    0.00046700
   -5.14514515    0.00046954
   -5.09509510    0.00047210
   -5.04504505    0.00047470
   -4.99499499    0.00047732
   -4.94494494    0.00047997
   -4.89489489    0.00048265
   -4.84484484    0.00048536
   -4.79479479    0.00048810
   -4.74474474    0.00049087
   -4.69469469    0.00049368
   -4.64464464    0.00049651
   -4.59459459    0.00049938
   -4.54454454    0.00050229
   -4.49449449    0.00050522
   -4.44444444    0.00050820
   -4.39439439    0.00051120
   -4.34434434    0.00051425
   -4.29429429    0.00051733
   -4.24424424    0.00052045
   -4.19419419    0.00052360
   -4.14414414    0.00052680
   -4.09409409    0.00053003
   -4.04404404    0.00053331
   -3.99399399    0.00053662
   -3.94394394    0.00053998
   -3.89389389    0.00054339
   -3.84384384    0.00054683
   -3.79379379    0.00055033
   -3.74374374    0.00055386
   -3.69369369    0.00055745
   -3.64364364    0.00056108
   -3.59359359    0.00056476
   -3.54354354    0.00056849
   -3.49349349    0.00057228
