# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00029060
   -9.94994995    0.00029156
   -9.89989990    0.00029254
   -9.84984985    0.00029352
   -9.79979980    0.00029450
   -9.74974975    0.00029549
   -9.69969970    0.00029649
   -9.64964965    0.00029750
   -9.59959960    0.00029851
   -9.54954955    0.00029953
   -9.49949950    0.00030055
   -9.44944945    0.00030159
   -9.39939940    0.00030263
   -9.34934935    0.00030368
   -9.29929930    0.00030473
   -9.24924925    0.00030579
   -9.19919920    0.00030686
   -9.14914915    0.00030794
   -9.09909910    0.00030902
   -9.04904905    0.00031012
   -8.99899900    0.00031122
   -8.94894895    0.00031232
   -8.89889890    0.00031344
   -8.84884885    0.00031456
   -8.79879880    0.00031570
   -8.74874875    0.00031684
   -8.69869870    0.00031798
   -8.64864865    0.00031914
   -8.59859860    0.00032030
   -8.54854855    0.00032148
   -8.49849850    0.00032266
   -8.44844845    0.00032385
   -8.39839840    0.00032505
   -8.34834835    0.00032626
   -8.29829830    0.00032747
   -8.24824825    0.00032870
   -8.19819820    0.00032994
   -8.14814815    0.00033118
   -8.09809810    0.00033244
   -8.04804805    0.00033370
   -7.99799800    0.00033497
   -7.94794795    0.00033625
   -7.89789790    0.00033755
   -7.84784785    0.00033885
   -7.79779780    0.00034016
   -7.74774775    0.00034148
   -7.69769770    0.00034282
   -7.64764765    0.00034416
   -7.59759760    0.00034551
   -7.54754755    0.00034688
   -7.49749750    0.00034825
   -7.44744745    0.00034964
   -7.39739740    0.00035103
   -7.34734735    0.00035244
   -7.29729730    0.00035386
   -7.24724725    0.00035529
   -7.19719720    0.00035673
   -7.14714715    0.00035819
   -7.09709710    0.00035965
   -7.04704705    0.00036113
   -6.99699700    0.00036262
   -6.94694695    0.00036412
   -6.89689690    0.00036563
   -6.84684685    0.00036716
   -6.79679680    0.00036870
   -6.74674675    0.00037025
   -6.69669670    0.00037182
   -6.64664665    0.00037339
   -6.59659660    0.00037498
   -6.54654655    0.00037659
   -6.49649650    0.00037821
   -6.44644645    0.00037984
   -6.39639640    0.00038148
   -6.34634635    0.00038314
   -6.29629630    0.00038482
   -6.24624625    0.00038651
   -6.19619620    0.00038821
   -6.14614615    0.00038993
   -6.09609610    0.00039166
   -6.04604605    0.00039341
   -5.99599600    0.00039518
   -5.94594595    0.00039695
   -5.89589590    0.00039875
   -5.84584585    0.00040056
   -5.79579580    0.00040239
   -5.74574575    0.00040423
   -5.69569570    0.00040610
   -5.64564565    0.00040797
   -5.59559560    0.00040987
   -5.54554555    0.00041178
   -5.49549550    0.00041371
   -5.44544545    0.00041566
   -5.39539540    0.00041763
   -5.34534535    0.00041961
   -5.29529530    0.00042161
   -5.24524525    0.00042364
   -5.19519520    0.00042568
   -5.14514515    0.00042774
   -5.09509510    0.00042982
   -5.04504505    0.00043192
   -4.99499499    0.00043404
   -4.94494494    0.00043618
   -4.89489489    0.00043834
   -4.84484484    0.00044052
   -4.79479479    0.00044273
   -4.74474474    0.00044495
   -4.69469469    0.00044720
   -4.64464464    0.00044947
   -4.59459459    0.00045177
   -4.54454454    0.00045408
   -4.49449449    0.00045642
   -4.44444444    0.00045879
   -4.39439439    0.00046117
   -4.34434434    0.00046359
   -4.29429429    0.00046602
   -4.24424424    0.00046848
   -4.19419419    0.00047097
   -4.14414414    0.00047349
   -4.09409409    0.00047603
   -4.04404404    0.00047859
   -3.99399399    0.00048119
   -3.94394394    0.00048381
   -3.89389389    0.00048646
   -3.84384384    0.00048914
   -3.79379379    0.00049185
   -3.74374374    0.00049459
   -3.69369369    0.00049735
   -3.64364364    0.00050015
   -3.59359359    0.00050298
   -3.54354354    0.00050584
   -3.49349349    0.00050873
   -3.44344344    0.00051166
   -3.39339339    0.00051462
   -3.34334334    0.00051761
   -3.29329329    0.00052064
   -3.24324324    0.00052370
   -3.19319319    0.00052680
   -3.14314314    0.00052993
   -3.09309309    0.00053310
   -3.04304304    0.00053631
   -2.99299299    0.00053955
   -2.94294294    0.00054284
   -2.89289289    0.00054616
   -2.84284284    0.00054953
   -2.79279279    0.00055293
   -2.74274274    0.00055638
   -2.69269269    0.00055987
   -2.64264264    0.00056341
   -2.59259259    0.00056699
   -2.54254254    0.00057061
   -2.49249249    0.00057428
   -2.44244244    0.00057800
   -2.39239239    0.00058177
   -2.34234234    0.00058558
   -2.29229229    0.00058945
   -2.24224224    0.00059336
   -2.19219219    0.00059733
   -2.14214214    0.00060136
   -2.09209209    0.00060544
   -2.04204204    0.00060957
   -1.99199199    0.00061376
   -1.94194194    0.00061802
   -1.89189189    0.00062233
   -1.84184184    0.00062670
   -1.79179179    0.00063114
   -1.74174174    0.00063564
   -1.69169169    0.00064021
   -1.64164164    0.00064485
   -1.59159159    0.00064957
   -1.54154154    0.00065435
   -1.49149149    0.00065921
   -1.44144144    0.00066415
   -1.39139139    0.00066918
   -1.34134134    0.00067428
   -1.29129129    0.00067948
   -1.24124124    0.00068476
   -1.19119119    0.00069015
   -1.14114114    0.00069563
   -1.09109109    0.00070122
   -1.04104104    0.00070692
   -0.99099099    0.00071274
   -0.94094094    0.00071869
   -0.89089089    0.00072477
   -0.84084084    0.00073100
   -0.79079079    0.00073740
   -0.74074074    0.00074397
   -0.69069069    0.00075074
   -0.64064064    0.00075774
   -0.59059059    0.00076499
   -0.54054054    0.00077255
   -0.49049049    0.00078047
   -0.44044044    0.00078882
   -0.39039039    0.00079771
   -0.34034034    0.00080729
   -0.29029029    0.00081777
   -0.24024024    0.00082941
   -0.19019019    0.00084257
   -0.14014014    0.00085766
   -0.09009009    0.00087476
   -0.04004004    0.00089369
    0.01001001    0.00091362
    0.06006006    0.00093201
    0.11011011    0.00094669
    0.16016016    0.00095890
    0.21021021    0.00096914
    0.26026026    0.00097819
    0.31031031    0.00098655
    0.36036036    0.00099448
    0.41041041    0.00100228
    0.46046046    0.00101038
    0.51051051    0.00101931
    0.56056056    0.00102953
    0.61061061    0.00104126
    0.66066066    0.00105443
    0.71071071    0.00106872
    0.76076076    0.00108367
    0.81081081    0.00109887
    0.86086086    0.00111407
    0.91091091    0.00112900
    0.96096096    0.00114338
    1.01101101    0.00115713
    1.06106106    0.00117047
    1.11111111    0.00118378
    1.16116116    0.00119753
    1.21121121    0.00121210
    1.26126126    0.00122750
    1.31131131    0.00124328
    1.36136136    0.00125862
    1.41141141    0.00127283
    1.46146146    0.00128595
    1.51151151    0.00129875
    1.56156156    0.00131228
    1.61161161    0.00132748
    1.66166166    0.00134501
    1.71171171    0.00136507
    1.76176176    0.00138731
    1.81181181    0.00141078
    1.86186186    0.00143424
    1.91191191    0.00145668
    1.96196196    0.00147751
    2.01201201    0.00149661
    2.06206206    0.00151451
    2.11211211    0.00153236
    2.16216216    0.00155136
    2.21221221    0.00157222
    2.26226226    0.00159515
    2.31231231    0.00162012
    2.36236236    0.00164702
    2.41241241    0.00167551
    2.46246246    0.00170497
    2.51251251    0.00173476
    2.56256256    0.00176460
    2.61261261    0.00179476
    2.66266266    0.00182596
    2.71271271    0.00185906
    2.76276276    0.00189471
    2.81281281    0.00193314
    2.86286286    0.00197383
    2.91291291    0.00201555
    2.96296296    0.00205715
    3.01301301    0.00209815
    3.06306306    0.00213846
    3.11311311    0.00217794
    3.16316316    0.00221709
    3.21321321    0.00225813
    3.26326326    0.00230448
    3.31331331    0.00235925
    3.36336336    0.00242437
    3.41341341    0.00250068
    3.46346346    0.00258800
    3.51351351    0.00268482
    3.56356356    0.00278821
    3.61361361    0.00289440
    3.66366366    0.00299968
    3.71371371    0.00310047
    3.76376376    0.00319337
    3.81381381    0.00327713
    3.86386386    0.00335449
    3.91391391    0.00343036
    3.96396396    0.00350794
    4.01401401    0.00358690
    4.06406406    0.00366460
    4.11411411    0.00373844
    4.16416416    0.00380743
    4.21421421    0.00387276
    4.26426426    0.00393780
    4.31431431    0.00400662
    4.36436436    0.00408227
    4.41441441    0.00416621
    4.46446446    0.00425847
    4.51451451    0.00435778
    4.56456456    0.00446241
    4.61461461    0.00457135
    4.66466466    0.00468477
    4.71471471    0.00480336
    4.76476476    0.00492771
    4.81481481    0.00505854
    4.86486486    0.00519719
    4.91491491    0.00534558
    4.96496496    0.00550546
    5.01501502    0.00567735
    5.06506507    0.00585987
    5.11511512    0.00605034
    5.16516517    0.00624736
    5.21521522    0.00645377
    5.26526527    0.00667651
    5.31531532    0.00692318
    5.36536537    0.00719906
    5.41541542    0.00750637
    5.46546547    0.00784535
