# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00036687
   -9.94994995    0.00036885
   -9.89989990    0.00037084
   -9.84984985    0.00037286
   -9.79979980    0.00037490
   -9.74974975    0.00037697
   -9.69969970    0.00037906
   -9.64964965    0.00038117
   -9.59959960    0.00038331
   -9.54954955    0.00038548
   -9.49949950    0.00038767
   -9.44944945    0.00038989
   -9.39939940    0.00039213
   -9.34934935    0.00039440
   -9.29929930    0.00039670
   -9.24924925    0.00039903
   -9.19919920    0.00040139
   -9.14914915    0.00040378
   -9.09909910    0.00040619
   -9.04904905    0.00040864
   -8.99899900    0.00041112
   -8.94894895    0.00041363
   -8.89889890    0.00041617
   -8.84884885    0.00041874
   -8.79879880    0.00042135
   -8.74874875    0.00042399
   -8.69869870    0.00042667
   -8.64864865    0.00042938
   -8.59859860    0.00043213
   -8.54854855    0.00043491
   -8.49849850    0.00043774
   -8.44844845    0.00044060
   -8.39839840    0.00044350
   -8.34834835    0.00044644
   -8.29829830    0.00044942
   -8.24824825    0.00045244
   -8.19819820    0.00045550
   -8.14814815    0.00045861
   -8.09809810    0.00046176
   -8.04804805    0.00046496
   -7.99799800    0.00046820
   -7.94794795    0.00047149
   -7.89789790    0.00047482
   -7.84784785    0.00047821
   -7.79779780    0.00048165
   -7.74774775    0.00048513
   -7.69769770    0.00048867
   -7.64764765    0.00049226
   -7.59759760    0.00049591
   -7.54754755    0.00049961
   -7.49749750    0.00050337
   -7.44744745    0.00050719
   -7.39739740    0.00051106
   -7.34734735    0.00051500
   -7.29729730    0.00051900
   -7.24724725    0.00052306
   -7.19719720    0.00052719
   -7.14714715    0.00053139
   -7.09709710    0.00053565
   -7.04704705    0.00053999
   -6.99699700    0.00054439
   -6.94694695    0.00054887
   -6.89689690    0.00055342
   -6.84684685    0.00055805
   -6.79679680    0.00056276
   -6.74674675    0.00056755
   -6.69669670    0.00057242
   -6.64664665    0.00057738
   -6.59659660    0.00058242
   -6.54654655    0.00058755
   -6.49649650    0.00059278
   -6.44644645    0.00059809
   -6.39639640    0.00060351
   -6.34634635    0.00060902
   -6.29629630    0.00061464
   -6.24624625    0.00062035
   -6.19619620    0.00062618
   -6.14614615    0.00063211
   -6.09609610    0.00063816
   -6.04604605    0.00064432
   -5.99599600    0.00065061
   -5.94594595    0.00065701
   -5.89589590    0.00066354
   -5.84584585    0.00067020
   -5.79579580    0.00067699
   -5.74574575    0.00068393
   -5.69569570    0.00069100
   -5.64564565    0.00069821
   -5.59559560    0.00070558
   -5.54554555    0.00071310
   -5.49549550    0.00072078
   -5.44544545    0.00072862
   -5.39539540    0.00073663
   -5.34534535    0.00074481
   -5.29529530    0.00075318
   -5.24524525    0.00076173
   -5.19519520    0.00077046
   -5.14514515    0.00077940
   -5.09509510    0.00078854
   -5.04504505    0.00079789
   -4.99499499    0.00080745
   -4.94494494    0.00081724
   -4.89489489    0.00082727
   -4.84484484    0.00083753
   -4.79479479    0.00084804
   -4.74474474    0.00085880
   -4.69469469    0.00086983
   -4.64464464    0.00088114
   -4.59459459    0.00089273
   -4.54454454    0.00090462
   -4.49449449    0.00091681
   -4.44444444    0.00092932
   -4.39439439    0.00094216
   -4.34434434    0.00095534
   -4.29429429    0.00096887
   -4.24424424    0.00098278
   -4.19419419    0.00099707
   -4.14414414    0.00101175
   -4.09409409    0.00102685
   -4.04404404    0.00104238
   -3.99399399    0.00105836
   -3.94394394    0.00107481
   -3.89389389    0.00109174
   -3.84384384    0.00110918
   -3.79379379    0.00112715
   -3.74374374    0.00114567
   -3.69369369    0.00116477
   -3.64364364    0.00118447
   -3.59359359    0.00120481
   -3.54354354    0.00122580
   -3.49349349    0.00124748
   -3.44344344    0.00126988
   -3.39339339    0.00129304
   -3.34334334    0.00131700
   -3.29329329    0.00134178
   -3.24324324    0.00136744
   -3.19319319    0.00139402
   -3.14314314    0.00142156
   -3.09309309    0.00145012
   -3.04304304    0.00147975
   -2.99299299    0.00151050
   -2.94294294    0.00154244
   -2.89289289    0.00157564
   -2.84284284    0.00161016
   -2.79279279    0.00164608
   -2.74274274    0.00168348
   -2.69269269    0.00172245
   -2.64264264    0.00176309
   -2.59259259    0.00180549
   -2.54254254    0.00184976
   -2.49249249    0.00189604
   -2.44244244    0.00194443
   -2.39239239    0.00199509
   -2.34234234    0.00204816
   -2.29229229    0.00210382
   -2.24224224    0.00216223
   -2.19219219    0.00222361
   -2.14214214    0.00228815
   -2.09209209    0.00235611
   -2.04204204    0.00242772
   -1.99199199    0.00250329
   -1.94194194    0.00258313
   -1.89189189    0.00266757
   -1.84184184    0.00275700
   -1.79179179    0.00285185
   -1.74174174    0.00295259
   -1.69169169    0.00305975
   -1.64164164    0.00317391
   -1.59159159    0.00329573
   -1.54154154    0.00342596
   -1.49149149    0.00356543
   -1.44144144    0.00371509
   -1.39139139    0.00387602
   -1.34134134    0.00404945
   -1.29129129    0.00423677
   -1.24124124    0.00443962
   -1.19119119    0.00465984
   -1.14114114    0.00489961
   -1.09109109    0.00516146
   -1.04104104    0.00544834
   -0.99099099    0.00576377
   -0.94094094    0.00611188
   -0.89089089    0.00649766
   -0.84084084    0.00692708
