# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00029979
   -9.94994995    0.00030082
   -9.89989990    0.00030187
   -9.84984985    0.00030292
   -9.79979980    0.00030397
   -9.74974975    0.00030504
   -9.69969970    0.00030611
   -9.64964965    0.00030719
   -9.59959960    0.00030828
   -9.54954955    0.00030937
   -9.49949950    0.00031047
   -9.44944945    0.00031158
   -9.39939940    0.00031270
   -9.34934935    0.00031383
   -9.29929930    0.00031496
   -9.24924925    0.00031611
   -9.19919920    0.00031726
   -9.14914915    0.00031842
   -9.09909910    0.00031958
   -9.04904905    0.00032076
   -8.99899900    0.00032195
   -8.94894895    0.00032314
   -8.89889890    0.00032434
   -8.84884885    0.00032555
   -8.79879880    0.00032677
   -8.74874875    0.00032800
   -8.69869870    0.00032924
   -8.64864865    0.00033049
   -8.59859860    0.00033175
   -8.54854855    0.00033301
   -8.49849850    0.00033429
   -8.44844845    0.00033558
   -8.39839840    0.00033687
   -8.34834835    0.00033818
   -8.29829830    0.00033950
   -8.24824825    0.00034082
   -8.19819820    0.00034216
   -8.14814815    0.00034351
   -8.09809810    0.00034486
   -8.04804805    0.00034623
   -7.99799800    0.00034761
   -7.94794795    0.00034900
   -7.89789790    0.00035040
   -7.84784785    0.00035181
   -7.79779780    0.00035324
   -7.74774775    0.00035467
   -7.69769770    0.00035612
   -7.64764765    0.00035758
   -7.59759760    0.00035905
   -7.54754755    0.00036053
   -7.49749750    0.00036202
   -7.44744745    0.00036353
   -7.39739740    0.00036505
   -7.34734735    0.00036658
   -7.29729730    0.00036812
   -7.24724725    0.00036968
   -7.19719720    0.00037125
   -7.14714715    0.00037283
   -7.09709710    0.00037443
   -7.04704705    0.00037604
   -6.99699700    0.00037767
   -6.94694695    0.00037930
   -6.89689690    0.00038095
   -6.84684685    0.00038262
   -6.79679680    0.00038430
   -6.74674675    0.00038599
   -6.69669670    0.00038770
   -6.64664665    0.00038943
   -6.59659660    0.00039117
   -6.54654655    0.00039292
   -6.49649650    0.00039469
   -6.44644645    0.00039648
   -6.39639640    0.00039828
   -6.34634635    0.00040010
   -6.29629630    0.00040193
   -6.24624625    0.00040379
   -6.19619620    0.00040565
   -6.14614615    0.00040754
   -6.09609610    0.00040944
   -6.04604605    0.00041136
   -5.99599600    0.00041330
   -5.94594595    0.00041525
   -5.89589590    0.00041722
   -5.84584585    0.00041922
   -5.79579580    0.00042123
   -5.74574575    0.00042326
   -5.69569570    0.00042530
   -5.64564565    0.00042737
   -5.59559560    0.00042946
   -5.54554555    0.00043157
   -5.49549550    0.00043370
   -5.44544545    0.00043584
   -5.39539540    0.00043801
   -5.34534535    0.00044020
   -5.29529530    0.00044242
   -5.24524525    0.00044465
   -5.19519520    0.00044690
   -5.14514515    0.00044918
   -5.09509510    0.00045148
   -5.04504505    0.00045381
   -4.99499499    0.00045615
   -4.94494494    0.00045853
   -4.89489489    0.00046092
   -4.84484484    0.00046334
   -4.79479479    0.00046578
   -4.74474474    0.00046825
   -4.69469469    0.00047075
   -4.64464464    0.00047327
   -4.59459459    0.00047582
   -4.54454454    0.00047839
   -4.49449449    0.00048099
   -4.44444444    0.00048362
   -4.39439439    0.00048628
   -4.34434434    0.00048896
   -4.29429429    0.00049168
   -4.24424424    0.00049442
   -4.19419419    0.00049719
   -4.14414414    0.00049999
   -4.09409409    0.00050283
   -4.04404404    0.00050569
   -3.99399399    0.00050859
   -3.94394394    0.00051152
   -3.89389389    0.00051448
   -3.84384384    0.00051748
   -3.79379379    0.00052051
   -3.74374374    0.00052357
   -3.69369369    0.00052667
   -3.64364364    0.00052980
   -3.59359359    0.00053297
   -3.54354354    0.00053618
   -3.49349349    0.00053943
   -3.44344344    0.00054271
   -3.39339339    0.00054603
   -3.34334334    0.00054939
   -3.29329329    0.00055279
   -3.24324324    0.00055624
   -3.19319319    0.00055972
   -3.14314314    0.00056325
   -3.09309309    0.00056681
   -3.04304304    0.00057043
   -2.99299299    0.00057409
   -2.94294294    0.00057779
   -2.89289289    0.00058154
   -2.84284284    0.00058533
   -2.79279279    0.00058918
   -2.74274274    0.00059307
   -2.69269269    0.00059702
   -2.64264264    0.00060101
   -2.59259259    0.00060506
   -2.54254254    0.00060916
   -2.49249249    0.00061331
   -2.44244244    0.00061752
   -2.39239239    0.00062178
   -2.34234234    0.00062610
   -2.29229229    0.00063048
   -2.24224224    0.00063492
   -2.19219219    0.00063942
   -2.14214214    0.00064398
   -2.09209209    0.00064861
   -2.04204204    0.00065330
   -1.99199199    0.00065806
   -1.94194194    0.00066288
   -1.89189189    0.00066777
   -1.84184184    0.00067274
   -1.79179179    0.00067777
   -1.74174174    0.00068289
   -1.69169169    0.00068807
   -1.64164164    0.00069334
   -1.59159159    0.00069868
   -1.54154154    0.00070411
   -1.49149149    0.00070962
   -1.44144144    0.00071521
   -1.39139139    0.00072090
   -1.34134134    0.00072667
   -1.29129129    0.00073254
   -1.24124124    0.00073850
   -1.19119119    0.00074457
   -1.14114114    0.00075073
   -1.09109109    0.00075701
   -1.04104104    0.00076339
   -0.99099099    0.00076989
   -0.94094094    0.00077650
   -0.89089089    0.00078324
   -0.84084084    0.00079011
   -0.79079079    0.00079711
   -0.74074074    0.00080426
   -0.69069069    0.00081156
   -0.64064064    0.00081902
   -0.59059059    0.00082666
   -0.54054054    0.00083449
   -0.49049049    0.00084253
   -0.44044044    0.00085080
   -0.39039039    0.00085934
   -0.34034034    0.00086818
