# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00119895
   -9.94994995    0.00120531
   -9.89989990    0.00121173
   -9.84984985    0.00121822
   -9.79979980    0.00122477
   -9.74974975    0.00123139
   -9.69969970    0.00123808
   -9.64964965    0.00124484
   -9.59959960    0.00125166
   -9.54954955    0.00125856
   -9.49949950    0.00126552
   -9.44944945    0.00127256
   -9.39939940    0.00127967
   -9.34934935    0.00128686
   -9.29929930    0.00129412
   -9.24924925    0.00130146
   -9.19919920    0.00130888
   -9.14914915    0.00131638
   -9.09909910    0.00132395
   -9.04904905    0.00133161
   -8.99899900    0.00133935
   -8.94894895    0.00134718
   -8.89889890    0.00135509
   -8.84884885    0.00136309
   -8.79879880    0.00137118
   -8.74874875    0.00137935
   -8.69869870    0.00138762
   -8.64864865    0.00139598
   -8.59859860    0.00140443
   -8.54854855    0.00141298
   -8.49849850    0.00142163
   -8.44844845    0.00143038
   -8.39839840    0.00143922
   -8.34834835    0.00144817
   -8.29829830    0.00145722
   -8.24824825    0.00146638
   -8.19819820    0.00147564
   -8.14814815    0.00148501
   -8.09809810    0.00149450
   -8.04804805    0.00150409
   -7.99799800    0.00151380
   -7.94794795    0.00152363
   -7.89789790    0.00153358
   -7.84784785    0.00154364
   -7.79779780    0.00155383
   -7.74774775    0.00156415
   -7.69769770    0.00157459
   -7.64764765    0.00158516
   -7.59759760    0.00159586
   -7.54754755    0.00160670
   -7.49749750    0.00161767
   -7.44744745    0.00162878
   -7.39739740    0.00164003
   -7.34734735    0.00165143
   -7.29729730    0.00166297
   -7.24724725    0.00167467
   -7.19719720    0.00168651
   -7.14714715    0.00169851
   -7.09709710    0.00171067
   -7.04704705    0.00172299
   -6.99699700    0.00173547
   -6.94694695    0.00174812
   -6.89689690    0.00176094
   -6.84684685    0.00177394
   -6.79679680    0.00178711
   -6.74674675    0.00180046
   -6.69669670    0.00181399
   -6.64664665    0.00182771
   -6.59659660    0.00184163
   -6.54654655    0.00185574
   -6.49649650    0.00187005
   -6.44644645    0.00188456
   -6.39639640    0.00189928
   -6.34634635    0.00191421
   -6.29629630    0.00192935
   -6.24624625    0.00194472
   -6.19619620    0.00196031
   -6.14614615    0.00197613
   -6.09609610    0.00199219
   -6.04604605    0.00200849
   -5.99599600    0.00202503
   -5.94594595    0.00204182
   -5.89589590    0.00205887
   -5.84584585    0.00207618
   -5.79579580    0.00209375
   -5.74574575    0.00211160
   -5.69569570    0.00212973
   -5.64564565    0.00214814
   -5.59559560    0.00216685
   -5.54554555    0.00218585
   -5.49549550    0.00220516
   -5.44544545    0.00222478
   -5.39539540    0.00224472
   -5.34534535    0.00226499
   -5.29529530    0.00228560
   -5.24524525    0.00230655
   -5.19519520    0.00232784
   -5.14514515    0.00234950
   -5.09509510    0.00237153
   -5.04504505    0.00239394
   -4.99499499    0.00241673
   -4.94494494    0.00243992
   -4.89489489    0.00246352
   -4.84484484    0.00248753
   -4.79479479    0.00251197
   -4.74474474    0.00253685
   -4.69469469    0.00256219
   -4.64464464    0.00258798
   -4.59459459    0.00261425
   -4.54454454    0.00264100
   -4.49449449    0.00266826
   -4.44444444    0.00269603
   -4.39439439    0.00272433
   -4.34434434    0.00275317
   -4.29429429    0.00278257
   -4.24424424    0.00281254
   -4.19419419    0.00284310
   -4.14414414    0.00287427
   -4.09409409    0.00290607
   -4.04404404    0.00293850
   -3.99399399    0.00297160
   -3.94394394    0.00300538
   -3.89389389    0.00303986
   -3.84384384    0.00307506
   -3.79379379    0.00311101
   -3.74374374    0.00314772
   -3.69369369    0.00318523
   -3.64364364    0.00322356
   -3.59359359    0.00326273
   -3.54354354    0.00330277
   -3.49349349    0.00334370
   -3.44344344    0.00338557
   -3.39339339    0.00342840
   -3.34334334    0.00347222
   -3.29329329    0.00351706
   -3.24324324    0.00356297
   -3.19319319    0.00360997
   -3.14314314    0.00365811
   -3.09309309    0.00370743
   -3.04304304    0.00375796
   -2.99299299    0.00380977
   -2.94294294    0.00386288
   -2.89289289    0.00391735
   -2.84284284    0.00397324
   -2.79279279    0.00403059
   -2.74274274    0.00408946
   -2.69269269    0.00414992
   -2.64264264    0.00421203
   -2.59259259    0.00427584
   -2.54254254    0.00434145
   -2.49249249    0.00440891
   -2.44244244    0.00447830
   -2.39239239    0.00454972
   -2.34234234    0.00462324
   -2.29229229    0.00469897
   -2.24224224    0.00477699
   -2.19219219    0.00485742
   -2.14214214    0.00494035
   -2.09209209    0.00502593
   -2.04204204    0.00511425
   -1.99199199    0.00520547
   -1.94194194    0.00529972
   -1.89189189    0.00539716
   -1.84184184    0.00549794
   -1.79179179    0.00560224
   -1.74174174    0.00571024
   -1.69169169    0.00582213
   -1.64164164    0.00593814
   -1.59159159    0.00605849
   -1.54154154    0.00618342
   -1.49149149    0.00631319
   -1.44144144    0.00644808
   -1.39139139    0.00658839
   -1.34134134    0.00673445
   -1.29129129    0.00688661
   -1.24124124    0.00704525
   -1.19119119    0.00721077
   -1.14114114    0.00738361
   -1.09109109    0.00756424
   -1.04104104    0.00775317
   -0.99099099    0.00795095
   -0.94094094    0.00815817
   -0.89089089    0.00837546
   -0.84084084    0.00860350
   -0.79079079    0.00884303
   -0.74074074    0.00909480
   -0.69069069    0.00935966
   -0.64064064    0.00963846
   -0.59059059    0.00993211
   -0.54054054    0.01024155
   -0.49049049    0.01056776
   -0.44044044    0.01091169
   -0.39039039    0.01127432
   -0.34034034    0.01165657
   -0.29029029    0.01205929
   -0.24024024    0.01248325
   -0.19019019    0.01292904
   -0.14014014    0.01339708
   -0.09009009    0.01388547
   -0.04004004    0.01439171
    0.01001001    0.01492530
    0.06006006    0.01548434
    0.11011011    0.01606507
    0.16016016    0.01665791
    0.21021021    0.01726654
    0.26026026    0.01788856
    0.31031031    0.01852139
    0.36036036    0.01916247
    0.41041041    0.01980946
    0.46046046    0.02046049
    0.51051051    0.02111444
    0.56056056    0.02177112
    0.61061061    0.02243149
    0.66066066    0.02309769
    0.71071071    0.02377309
