# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00097555
   -9.94994995    0.00097987
   -9.89989990    0.00098422
   -9.84984985    0.00098862
   -9.79979980    0.00099305
   -9.74974975    0.00099752
   -9.69969970    0.00100203
   -9.64964965    0.00100658
   -9.59959960    0.00101117
   -9.54954955    0.00101581
   -9.49949950    0.00102048
   -9.44944945    0.00102520
   -9.39939940    0.00102996
   -9.34934935    0.00103476
   -9.29929930    0.00103961
   -9.24924925    0.00104450
   -9.19919920    0.00104944
   -9.14914915    0.00105443
   -9.09909910    0.00105946
   -9.04904905    0.00106453
   -8.99899900    0.00106966
   -8.94894895    0.00107483
   -8.89889890    0.00108006
   -8.84884885    0.00108533
   -8.79879880    0.00109065
   -8.74874875    0.00109603
   -8.69869870    0.00110146
   -8.64864865    0.00110694
   -8.59859860    0.00111247
   -8.54854855    0.00111806
   -8.49849850    0.00112370
   -8.44844845    0.00112940
   -8.39839840    0.00113516
   -8.34834835    0.00114097
   -8.29829830    0.00114685
   -8.24824825    0.00115278
   -8.19819820    0.00115877
   -8.14814815    0.00116483
   -8.09809810    0.00117095
   -8.04804805    0.00117713
   -7.99799800    0.00118337
   -7.94794795    0.00118968
   -7.89789790    0.00119606
   -7.84784785    0.00120250
   -7.79779780    0.00120901
   -7.74774775    0.00121559
   -7.69769770    0.00122225
   -7.64764765    0.00122897
   -7.59759760    0.00123577
   -7.54754755    0.00124264
   -7.49749750    0.00124959
   -7.44744745    0.00125661
   -7.39739740    0.00126371
   -7.34734735    0.00127089
   -7.29729730    0.00127815
   -7.24724725    0.00128550
   -7.19719720    0.00129292
   -7.14714715    0.00130043
   -7.09709710    0.00130803
   -7.04704705    0.00131572
   -6.99699700    0.00132349
   -6.94694695    0.00133136
   -6.89689690    0.00133932
   -6.84684685    0.00134737
   -6.79679680    0.00135552
   -6.74674675    0.00136376
   -6.69669670    0.00137211
   -6.64664665    0.00138056
   -6.59659660    0.00138911
   -6.54654655    0.00139776
   -6.49649650    0.00140653
   -6.44644645    0.00141540
   -6.39639640    0.00142438
   -6.34634635    0.00143347
   -6.29629630    0.00144269
   -6.24624625    0.00145201
   -6.19619620    0.00146146
   -6.14614615    0.00147104
   -6.09609610    0.00148073
   -6.04604605    0.00149056
   -5.99599600    0.00150051
   -5.94594595    0.00151060
   -5.89589590    0.00152082
   -5.84584585    0.00153118
   -5.79579580    0.00154168
   -5.74574575    0.00155232
   -5.69569570    0.00156311
   -5.64564565    0.00157406
   -5.59559560    0.00158515
   -5.54554555    0.00159640
   -5.49549550    0.00160782
   -5.44544545    0.00161939
   -5.39539540    0.00163114
   -5.34534535    0.00164305
   -5.29529530    0.00165514
   -5.24524525    0.00166741
   -5.19519520    0.00167986
   -5.14514515    0.00169250
   -5.09509510    0.00170533
   -5.04504505    0.00171836
   -4.99499499    0.00173159
   -4.94494494    0.00174503
   -4.89489489    0.00175867
   -4.84484484    0.00177254
   -4.79479479    0.00178662
   -4.74474474    0.00180093
   -4.69469469    0.00181548
   -4.64464464    0.00183027
   -4.59459459    0.00184530
   -4.54454454    0.00186058
   -4.49449449    0.00187612
   -4.44444444    0.00189193
   -4.39439439    0.00190801
   -4.34434434    0.00192437
   -4.29429429    0.00194102
   -4.24424424    0.00195796
   -4.19419419    0.00197521
   -4.14414414    0.00199278
   -4.09409409    0.00201066
   -4.04404404    0.00202888
   -3.99399399    0.00204744
   -3.94394394    0.00206636
   -3.89389389    0.00208563
   -3.84384384    0.00210528
   -3.79379379    0.00212532
   -3.74374374    0.00214576
   -3.69369369    0.00216660
   -3.64364364    0.00218788
   -3.59359359    0.00220959
   -3.54354354    0.00223175
   -3.49349349    0.00225439
   -3.44344344    0.00227750
   -3.39339339    0.00230113
   -3.34334334    0.00232527
   -3.29329329    0.00234995
   -3.24324324    0.00237519
   -3.19319319    0.00240101
   -3.14314314    0.00242743
   -3.09309309    0.00245447
   -3.04304304    0.00248216
   -2.99299299    0.00251053
   -2.94294294    0.00253959
   -2.89289289    0.00256939
   -2.84284284    0.00259995
   -2.79279279    0.00263129
   -2.74274274    0.00266347
   -2.69269269    0.00269650
   -2.64264264    0.00273043
   -2.59259259    0.00276531
   -2.54254254    0.00280116
   -2.49249249    0.00283804
   -2.44244244    0.00287601
   -2.39239239    0.00291510
   -2.34234234    0.00295537
   -2.29229229    0.00299689
   -2.24224224    0.00303972
   -2.19219219    0.00308392
   -2.14214214    0.00312956
   -2.09209209    0.00317674
   -2.04204204    0.00322552
   -1.99199199    0.00327600
   -1.94194194    0.00332827
   -1.89189189    0.00338245
   -1.84184184    0.00343863
   -1.79179179    0.00349695
   -1.74174174    0.00355753
   -1.69169169    0.00362051
   -1.64164164    0.00368605
   -1.59159159    0.00375431
   -1.54154154    0.00382547
   -1.49149149    0.00389973
   -1.44144144    0.00397729
   -1.39139139    0.00405838
   -1.34134134    0.00414326
   -1.29129129    0.00423219
   -1.24124124    0.00432546
   -1.19119119    0.00442340
   -1.14114114    0.00452634
   -1.09109109    0.00463466
   -1.04104104    0.00474877
   -0.99099099    0.00486910
   -0.94094094    0.00499612
   -0.89089089    0.00513033
   -0.84084084    0.00527229
   -0.79079079    0.00542255
   -0.74074074    0.00558171
   -0.69069069    0.00575042
   -0.64064064    0.00592930
   -0.59059059    0.00611901
   -0.54054054    0.00632020
   -0.49049049    0.00653347
   -0.44044044    0.00675938
   -0.39039039    0.00699840
   -0.34034034    0.00725085
   -0.29029029    0.00751689
   -0.24024024    0.00779644
   -0.19019019    0.00808910
   -0.14014014    0.00839414
   -0.09009009    0.00870948
   -0.04004004    0.00903377
    0.01001001    0.00936821
    0.06006006    0.00970727
    0.11011011    0.01004585
    0.16016016    0.01038212
    0.21021021    0.01071142
    0.26026026    0.01102912
    0.31031031    0.01133044
    0.36036036    0.01161077
    0.41041041    0.01186585
    0.46046046    0.01209217
    0.51051051    0.01228713
    0.56056056    0.01244934
    0.61061061    0.01257870
    0.66066066    0.01267645
    0.71071071    0.01274508
    0.76076076    0.01278819
    0.81081081    0.01281015
    0.86086086    0.01281590
    0.91091091    0.01281055
    0.96096096    0.01279912
    1.01101101    0.01278629
    1.06106106    0.01277619
    1.11111111    0.01277230
    1.16116116    0.01277742
    1.21121121    0.01279365
    1.26126126    0.01282244
    1.31131131    0.01286470
    1.36136136    0.01292090
    1.41141141    0.01299113
    1.46146146    0.01307522
    1.51151151    0.01317282
    1.56156156    0.01328344
    1.61161161    0.01340648
    1.66166166    0.01354127
    1.71171171    0.01368703
    1.76176176    0.01384290
    1.81181181    0.01400793
    1.86186186    0.01418111
    1.91191191    0.01436134
    1.96196196    0.01454754
    2.01201201    0.01473871
    2.06206206    0.01493399
    2.11211211    0.01513274
    2.16216216    0.01533465
    2.21221221    0.01553974
    2.26226226    0.01574842
    2.31231231    0.01596146
    2.36236236    0.01617994
    2.41241241    0.01640517
    2.46246246    0.01663858
    2.51251251    0.01688162
    2.56256256    0.01713568
    2.61261261    0.01740198
    2.66266266    0.01768151
    2.71271271    0.01797504
    2.76276276    0.01828309
    2.81281281    0.01860598
    2.86286286    0.01894390
    2.91291291    0.01929699
    2.96296296    0.01966544
    3.01301301    0.02004953
    3.06306306    0.02044974
    3.11311311    0.02086676
    3.16316316    0.02130146
    3.21321321    0.02175488
    3.26326326    0.02222811
    3.31331331    0.02272223
    3.36336336    0.02323820
    3.41341341    0.02377673
    3.46346346    0.02433831
    3.51351351    0.02492311
    3.56356356    0.02553106
    3.61361361    0.02616194
    3.66366366    0.02681548
    3.71371371    0.02749150
    3.76376376    0.02819006
    3.81381381    0.02891165
    3.86386386    0.02965718
    3.91391391    0.03042813
    3.96396396    0.03122644
    4.01401401    0.03205450
    4.06406406    0.03291499
    4.11411411    0.03381071
    4.16416416    0.03474444
    4.21421421    0.03571874
    4.26426426    0.03673582
    4.31431431    0.03779746
    4.36436436    0.03890494
    4.41441441    0.04005907
    4.46446446    0.04126023
    4.51451451    0.04250850
    4.56456456    0.04380381
    4.61461461    0.04514605
    4.66466466    0.04653526
    4.71471471    0.04797170
    4.76476476    0.04945587
    4.81481481    0.05098854
    4.86486486    0.05257058
    4.91491491    0.05420283
    4.96496496    0.05588586
    5.01501502    0.05761974
    5.06506507    0.05940386
    5.11511512    0.06123665
    5.16516517    0.06311553
    5.21521522    0.06503674
    5.26526527    0.06699529
    5.31531532    0.06898489
    5.36536537    0.07099790
    5.41541542    0.07302525
    5.46546547    0.07505640
    5.51551552    0.07707925
    5.56556557    0.07908013
    5.61561562    0.08104380
    5.66566567    0.08295357
    5.71571572    0.08479147
    5.76576577    0.08653855
    5.81581582    0.08817536
    5.86586587    0.08968244
    5.91591592    0.09104097
    5.96596597    0.09223340
    6.01601602    0.09324407
    6.06606607    0.09405984
    6.11611612    0.09467050
    6.16616617    0.09506909
    6.21621622    0.09525217
    6.26626627    0.09521979
    6.31631632    0.09497550
    6.36636637    0.09452622
    6.41641642    0.09388196
    6.46646647    0.09305562
    6.51651652    0.09206258
    6.56656657    0.09092036
    6.61661662    0.08964812
    6.66666667    0.08826614
    6.71671672    0.08679529
    6.76676677    0.08525635
    6.81681682    0.08366948
    6.86686687    0.08205366
    6.91691692    0.08042615
    6.96696697    0.07880218
    7.01701702    0.07719471
    7.06706707    0.07561429
    7.11711712    0.07406912
    7.16716717    0.07256525
    7.21721722    0.07110674
    7.26726727    0.06969609
    7.31731732    0.06833446
    7.36736737    0.06702212
    7.41741742    0.06575866
    7.46746747    0.06454330
    7.51751752    0.06337504
    7.56756757    0.06225278
    7.61761762    0.06117540
    7.66766767    0.06014175
    7.71771772    0.05915067
    7.76776777    0.05820096
    7.81781782    0.05729140
    7.86786787    0.05642075
    7.91791792    0.05558779
    7.96796797    0.05479139
    8.01801802    0.05403056
